,NCTId,OverallStatus,StartDate,EligibilityCriteria,CompletionDate,StudyType,BriefTitle,DesignPrimaryPurpose,LeadSponsorClass,CollaboratorClass,DetailedDescription,IsFDARegulatedDevice,IsFDARegulatedDrug,InterventionType,BriefSummary,OfficialTitle,Keyword,InterventionDescription,InterventionName,query
1513,NCT04175444,"Active, not recruiting",2020-06-15,"Inclusion Criteria:

No history of intraocular surgery
Best corrected visual acuity (BVCA) 20/25 or better in each eye

Exclusion Criteria:

A spherical refraction outside ± 5.0 D and cylinder correction outside 2.0 D.
Intraocular surgery in the study eye
History of systemic condition known to affect visual function.
History of medication known to affect visual function.",2022-12-01,Observational,Establishing a Normative Database in Pediatric Population of the Head-mounted visuALL Field Analyzer,,OTHER,,"This is a cross-sectional observational study. The primary endpoint of the study will be at the end of the recruitment phase.

Participants that qualify for the study will be invited to a clinical site of the Vanderbilt Eye Institute or equivalent testing space and best corrected visual acuity will be checked with standard Snellen Acuity chart.
Once vision is confirmed to meet study requirements, the child will be instructed on how to use the headset.
The test will be generated and participant will complete various testing strategies including suprathreshold, full threshold and individual point testing and possibly other strategies for frequency of seeing curves.
Patient with pathology may be confirmed with formal standard of care visual field testing
Short survey will be administered to inquire on ease of device use
Data will be submitted for analysis",Yes,No,Diagnostic Test	Diagnostic Test,"The goal of this study is to determine reference values of the VisuALL Field Test in pediatric population. Standard Automatic Perimetry (SAP) is the gold standard test for the evaluation of different diseases of the visual pathway like glaucoma. Its main goal is to measure the differential light sensitivity at several locations in the central field of vision. Nevertheless, the accuracy of the current devices is limited by several factors such as the inherent inconsistency of the psychophysical test, stressful examinations and frequency of testing.

Several devices have been developed since the advent of the Octopus Perimeter and the Humphrey Field Analyzer (HFA) in an effort to improve the early detection of glaucoma. Several of these visual field test variants are implemented using laptops, iPads, and virtual reality headsets. These modalities bring portability but lack fixation methods, environmental control, and hardware standardization. These deficiencies may limit their wide usage.

The main goal of this study is to develop an initial pediatric reference database of a novel visual field test ecosystem that takes advantage of a Head Mounted Device (HMD).",Establishing a Normative Database in Pediatric Population of the Head-mounted visuALL Field Analyzer,,Each participant will conduct a visual field test with the visuaALL headset.	Each participant will conduct a standard of care Humphrey Visual Field.,VisuALL Field Analyzer	Humphrey Field Analyzer,"""virtual reality"""
1516,NCT05061745,Recruiting,2021-09-29,"Inclusion Criteria for Arm 1:

Adults age 18 years and above
Reported symptoms of dysphoria: PHQ-9 ≥ 10; GAD-7 ≥ 10; PCL-5 ≥ 45 or Average Pain Intensity ≥ 4/10 for > 3 months - this will ensure at least moderate level of reported difficulty with mood, anxiety, trauma, or pain
No changes in psychotropic medication (if taking psychotropic medication) and/or supportive psychotherapy for 1 month prior to baseline visit; and clinically appropriate to maintain stable treatment regimen for duration of trial.
Clinically competent to give informed written consent and ability to understand study procedures and to comply with them for the entire length of the study

Exclusion Criteria for Arm 1:

Significant auditory or visual impairment that prevents participants from using Virtual Reality headset.
Neurologic conditions or devices impacting brain circuitry (e.g., ferrous metal in head, seizure disorder, brain tumor, stroke, aneurysm, multiple sclerosis, etc.)
Active substance use disorder or hallucinogen use in last 3 months or any current substance use that puts the participant at increased risk or significant impairment
Dementia or other cognitive disorder making unable to engage in treatment
Any history or diagnosis of Schizophrenia, Schizoaffective Disorder, Delusional Disorder or other psychotic illness that precludes safe participation in trial.
Suicidal risk that precludes safe participation defined as clinical impression that the participant is at significant risk for suicide.
OCD cannot be the primary disorder but can have OCD symptoms
Inability to stop taking any medication that significantly increases cortical excitability (e.g., tricyclic antidepressants, stimulants, clozapine, etc.)
Unstable medical conditions or any current medical condition that could preclude being able to safely participate in this phase of the study (e.g., unstable metabolic abnormality, unstable angina, etc.)
Severe Traumatic Brain Injury
We will exclude non-English speakers because of the need for rapid communication before and during the use of technology.
Significant ongoing litigation or claims that impact research activities, as determined by the research study team. (Research may especially be impacted when mental health or pain is being evaluated for litigation or claims, such as civil and criminal cases, disability claims and worker's compensation).

The following groups will NOT be included.

Adults unable to consent
Individuals who are not yet adults (infants, children, teenagers)
Prisoners

Inclusion for Arms 2 and 3:

Adults age 18 years and above
Reported symptom of dysphoria: PHQ-9 ≥ 10; GAD-7 ≥ 10; PCL-5 ≥ 45 or Average Pain ≥ 4/10 for > 3 months - this will ensure at least moderate level of reported difficulty with mood, anxiety, trauma, or pain
No changes in psychotropic medication (if taking psychotropic medication) and/or changes in supportive psychotherapy for 1 month prior to initial visit; and clinically appropriate to maintain stable treatment regimen for duration of trial
Clinically competent to give informed written consent and ability to understand study procedures and to comply with them for the entire length of the study

Exclusion for Arms 2 and 3 :

Medical contraindication for neuromodulation (e.g., ferrous metal in head, seizure disorder, brain tumor, stroke, aneurysm, multiple sclerosis, etc.)
Active substance use disorder in last 3 months or any current substance use that puts the participant at increased risk or significant impairment
Dementia or other cognitive disorder making unable to engage in treatment
Any history or diagnosis of Schizophrenia, Schizoaffective Disorder, delusional Disorder or other psychotic illness that precludes safe participation in trial
Suicidal risk that precludes safe participation defined as clinical impression that the participant is at significant risk for suicide
OCD cannot be the primary disorder but can have OCD symptoms
Inability to stop taking any medication that significantly lowers the seizure threshold (e.g., tricyclic antidepressants, clozapine, etc.)
Current, planned, or suspected pregnancy
Unstable medical conditions or any current medical condition that could preclude being able to safely participate in TMS treatment (e.g., unstable metabolic abnormality, unstable angina, etc.)
Severe Traumatic Brain Injury
We will exclude non-English speakers because of the need for rapid communication during the delivery of treatments
Significant ongoing litigation or claims that impact research activities, as determined by the research study team. (Research may especially be impacted when mental health or pain is being evaluated for litigation or claims, such as civil and criminal cases, disability claims and worker's compensation).

The following groups will NOT be included.

Adults unable to consent
Individuals who are not yet adults (infants, children, teenagers)
Pregnant women
Prisoners",2026-08-01,Interventional,Neuromodulation for Dysphoria,Treatment,OTHER,,,Yes,No,Device	Device	Device,"This is an open label prospective pilot study of two neuromodulation interventions for patients suffering from dysphoria. Dysphoria is a transdiagnostic symptom of unease or dissatisfaction experienced across a range of diagnoses, including mood disorders and pain. There is a significant gap of treatment options across conditions with dysphoria, particularly non-medicated and self-care alternatives.

Many neuromodulation therapies require extensive medical resources or time to deliver. Thus, the investigators will test two non-invasive technologies administered in a manner that would reduce resources and/or time. Virtual Reality (VR) overlays the sensory system to block the external environment and provide vast range of meaningful sensory experiences. Transcranial Magnetic Stimulation (TMS) involves a magnetic pulse passing through the scalp to depolarize neurons in the outer cortex of the brain, and daily treatments over 6 weeks are currently FDA indicated for the treatment of major depressive disorder. Accelerated TMS is the delivery of treatment in a shorter period of time.

The primary objective of this study to demonstrate the preliminary effectiveness, tolerability, and feasibility of these two interventions: Guided Meditation VR for Wellness and Accelerated Transcranial Magnetic Stimulation.",Neuromodulation for Dysphoria,Neuromodulation,"Selected Modules of Commercially Available ""Guided Meditation VR"" presented on Valve Index Headset	MagVenture Transcranial Magnetic Stimulation (Treatment Coil Cool B70 AP)	MagVenture Transcranial Magnetic Stimulation (Cool D-B80 AP)",Guided Meditation VR for Wellness	Accelerated Transcranial Magnetic Stimulation: Treatment A	Accelerated Transcranial Magnetic Stimulation: Treatment B,"""virtual reality"""
1538,NCT03444961,Completed,2018-01-30,"Inclusion Criteria:

Recipient of the Argus II Retinal Prosthesis System
Ability to provide informed consent
Ability to follow two-step commands
Ability to ambulate 300+ feet with or without visual assistance
Able to tolerate Argus device turned on for >20 continuous minutes.

Exclusion Criteria:

Dementia
Musculoskeletal contraindication to exercise or walking
Cardiopulmonary contraindication exercise (i.e. uncontrolled heart failure, cardiac arrhythmia, or pulmonary disease).",2018-06-20,Interventional,Computer-Assisted Rehabilitation Environment Training After Argus Retinal Prosthesis,Treatment,OTHER,,,Yes,No,Device,The goal of the current project is to fill the unmet clinical needs around the objective assessment of visual function and develop outcome-oriented visual rehabilitation approach using the computer assisted rehabilitation environment (CAREN) system for Argus recipients.,Comprehensive Visual and Mobility Training Using Computer-Assisted Rehabilitation Environment (CAREN) After Argus Retinal Prosthesis Surgery,Argus II Retinal Prosthesis System	Rehabilitation,"CAREN allows Argus users to be trained and enhance their device usage in a safe, controlled, and standardized environment.",CAREN system training,"""virtual reality"""
1560,NCT04551092,Completed,2021-01-07,"Inclusion Criteria:

Chronic back pain that can be of multifactorial etiology inclusive of axial and radicular back pain
Report a Numerical Rating Scale (NRS, or Visual Analog Score VAS) score of greater than 6/10
Must be willing to for the duration of the study make no pharmacological adjustments or have additional Interventional therapies, as reported by the patient
Must have the cognitive capacity to provide consent/assent
Must be able to sit up in a chair during the recording session
Must demonstrate understanding of the protocol, its purpose and subject participation
Must be fluent in English

Exclusion Criteria:

Measured head size too small or too large for the EEG equipment
Any significant skull defect
History of a recent craniotomy (within the last six months)
Any signs of scalp inflammation, irritation, or abnormal skin conditions
History of epilepsy or seizures
Known allergies to any material to be used in this project
Sight disabilities that make participation impractical
Hair styles with thick braids or dread locks",2022-03-31,Interventional,Neurofeedback-EEG-VR System for Non-opioid Pain Therapy,Other,INDUSTRY,OTHER,"QUASAR and UCSD are conducting a clinical trial on 25 subjects to evaluate the feasibility of a novel Neurofeedback electroencephalography (EEG) Virtual Reality (VR) system aimed at reducing chronic pain. The NEVR device consists of a dry electrode EEG headset combined with a VR Head-Mounted Display (VR-HMD) device and neurofeedback software. This approach relies on retraining the brain's networks to reduce the perception of pain and does not involve pharmaceutical drugs. Patients with chronic lower back pain will be recruited by UCSD at its Altman Clinical & Translational Research Institute. Patients that meet the recruitment criteria will be asked to conduct 20 1-hour long sessions of EEG-based Neurofeedback in VR over the course of a couple of months. Pain assessment and device usability questionnaires will be conducted prior to and after the first and last sessions, and at intermediate time points. This will be a single arm clinical trial aimed at demonstrating the safety and viability of the NEVR device, with the primary outcome measure being the ability of patients to conduct all 20 sessions safely and comfortably. Secondary outcome measures include assessment of changes in pain perception, and of changes in EEG activity patterns.",Yes,No,Device,This study will assess the feasibility of developing the Neurofeedback-EEG-VR (NEVR) system for non-opioid pain therapy. Subjects suffering from pain will undergo sessions involving VR and Neurofeedback training and their pain will be assessed.,Neurofeedback-EEG-VR (NEVR) System for Non-opioid Pain Therapy,,"a non-invasive, non-pharmacological alternative to treat pain by combining an innovative electroencephalography (EEG)-based Neurofeedback solution in an immersive virtual reality (VR) environment.",NEVR,"""virtual reality"""
1562,NCT05283811,Recruiting,2021-06-01,"Inclusion Criteria:

Eligible subjects include both male and female patients, between 10 years of age and 64 years of age, who undergo placement of intracranial electrodes for clinical characterization of epilepsy.

Exclusion Criteria:

Grounds for exclusion would include inability to understand and follow instructions, or inability to concentrate sufficiently to achieve a high proportion of correct responses.",2026-03-31,Interventional,Understanding Prefrontal and Medial Temporal Neuronal Responses to Algorithmic Cognitive Variables in Epilepsy Patients,Health Services Research,OTHER,,,Yes,No,Device	Behavioral,"Humans have a remarkable ability to flexibly interact with the environment. A compelling demonstration of this cognitive flexibility is human's ability to respond correctly to novel contextual situations on the first attempt, without prior rehearsal. The investigators refer to this ability as 'ad hoc self-programming': 'ad hoc' because these new behavioral repertoires are cobbled together on the fly, based on immediate demand, and then discarded when no longer necessary; 'self-programming' because the brain has to configure itself appropriately based on task demands and some combination of prior experience and/or instruction. The overall goal of our research effort is to understand the neurophysiological and computational basis for ad hoc self-programmed behavior. The previous U01 project (NS 108923) focused on how these programs of action are initially created. The results thus far have revealed tantalizing notions of how the brain represents these programs and navigates through the programs. In this proposal, therefore, the investigators focus on the question of how these mental programs are executed. Based on the preliminary findings and critical conceptual work, the investigators propose that the medial temporal lobe (MTL) and ventral prefrontal cortex (vPFC) creates representations of the critical elements of these mental programs, including concepts such as 'rules' and 'locations', to allow for effective navigation through the algorithm. These data suggest the existence of an 'algorithmic state space' represented in medial temporal and prefrontal regions. This proposal aims to understand the neurophysiological underpinnings of this algorithmic state space in humans. By studying humans, the investigators will profit from our species' powerful capacity for generalization to understand how such state spaces are constructed. The investigators therefore leverage the unique opportunities available in human neuroscience research to record from single cells and population-level signals, as well as to use intracranial stimulation for causal testing, to address this challenging problem. In Aim 1 the investigators study the basic representations of algorithmic state space using a novel behavioral task that requires the immediate formation of unique plans of action. Aim 2 directly compares representations of algorithmic state space to that of physical space by juxtaposing balanced versions of spatial and algorithmic tasks in a virtual reality (VR) environment. Finally, in Aim 3, the investigators test hypotheses regarding interactions between vPFC and MTL using intracranial stimulation.",Mapping Algorithmic State Space in the Human Brain,Single-neuron	Local-field potentials,This device is indicated as a therapy in reducing the frequency of seizures in individuals	Patients are admitted to the Epilepsy Monitoring Unit for observation of seizure activity prior to further treatment,NEUROPACE RNS SYSTEM	EMU,"""virtual reality"""
1610,NCT03804684,Completed,2019-01-08,"Inclusion Criteria:

age 21 to 80 years
Healthy subjects with no eye diseases, normal appearing optic nerve and retina, intraocular pressure less than 19 millimeters mercury and normal standard automatic perimetry (SAP).
mild glaucoma subjects with less than -6 mean deviation
moderate glaucoma subjects with -6 to -12 mean deviation

Exclusion Criteria:

spherical refraction outside ± 3.0 diopters and cylinder correction outside 2.0 diopters
Unreliable SAP (false positives, fixation losses and false negatives greater than 25% and/or observable testing artifacts)
Unreliable visuALL Field Analyzer (vFA) (greater than 25% false positive, excessive fixation losses)
SAP abnormality with pattern loss consistent with neurologic and/or other ocular diseases than glaucoma
Intraocular surgery in study eye (except non-complicated cataract or refractive surgery performed more than 6 months before enrollment and without posterior capsule opacification)
History of systemic condition known to affect visual function
History of medication known to affect visual function",2020-10-20,Interventional,visuALL Field Analyzer (vFA) Compared to Standard Humphrey Automated Perimetry,Diagnostic,OTHER,UNKNOWN,"Standard Automatic Perimetry (SAP) is the gold standard test for the evaluation of central and peripheral retinal sensitivity to light for detection and monitoring optic nerve diseases such as glaucoma. The current device has its own limitation such as positioning for the duration of the test which makes is hard for older patients especially those with back or other musculoskeletal diseases, artifact of the corrective lenses used to accommodate the patients refractive errors, etc.

Several devices have been developed since the advent of the Octopus Perimeter 3-5 and the Humphrey Field Analyzer (HFA), in an effort to improve the test reliability and patient comfort.

The main goal of this study is to evaluate the repeatability of a novel psychophysical platform that takes advantage of a Head Mounted Device (HMD) with eye tracking capabilities. Other objectives of this study include the development of an initial reference database and comparison of the measured parameters with HFA.",Yes,No,Diagnostic Test	Diagnostic Test,To determine age-adjusted reference values of the visuALL Field Analyzer (vFA) retinal sensitivity and to assess the repeatability of the measured values and compare them with those measured by a Standard Automatic Perimetry (SAP).,How Does the visuALL Field Analyzer (vFA) Compare to Standard Automatic Perimetry (SAP) in Patients With Mild and Moderate Chronic Open Angle Glaucoma (COAG) and Subjects Without Eye Problems?,open angle glaucoma	visual field	Standard Automatic Perimetry,"Standard Automatic Perimetry (SAP) Humphrey Field Analyzer (HFA) 24-2, Swedish Interactive Threshold Algorithm (SITA) Standard Strategy measures peripheral and central vision in an ophthalmic setting.	visuALL Field Analyzer a new portable hardware and software virtual reality system measures peripheral and central vision to improve early detection of glaucoma damage in a non ophthalmic setting.",Standard Automatic Perimetry Humphrey Field Analyzer	visuALL Field Analyzer,"""virtual reality"""
1613,NCT04679441,Recruiting,2021-08-01,"Inclusion Criteria MCI:

English or Spanish speaking
Able to read at the 6th grade level (WRAT)
Able to read a computer screen and use a keyboard or mouse
Has a willing and reliable informant
Subjective memory complaints by the participant and/or collateral informant;
Meets Jak Bondi criteria for the diagnosis of MCI.

Inclusion Criteria HC:

Score on the MOCA ≥ 26

Exclusion Criteria:

Sensory Limitations
MOCA <18",2023-05-31,Interventional,A Novel Computer-Based Functional Skills Assessment and Training Program,Treatment,INDUSTRY,,"The CFSAT program provides training on everyday tasks critical to independent living (e.g., financial and medication management). The program currently includes six domain simulations critical to independent living: ATM Banking/Financial Management, Online Banking, Prescription Refill via Voice Menu, Kiosk Ticket Purchase, Online Shopping (and prescription refill), and Medication Management. The simulations are in a multi-media format and include graphic representations, voice and text. In the assessment component each of the six task domains includes subtasks that graduate in difficulty (e.g., check savings account balance, transfer money between accounts). The training component is designed to: 1) be consistent with adaptive training models of learning (tailored to the individual's skills); 2) adhere to current training guidelines for older adults, 3) identify the current levels of an individual's ability on the task with Item response theory strategies; 4) use dynamic-titration feedback from immediate task performance to adjust task difficulty to optimize training potential; and 5) provide immediate feedback and graduated instruction following errors, followed by repetition of the previously failed item. Performance metrics are captured in real time and include measures of accuracy and efficiency.

The proposed research will involve two phases and will be conducted at two locations: South Florida and New York City. Inclusion of two locations will allow us to expand the diversity of our sample and the generalizability of the findings across different regions of the U.S. Phase I will focus on validation of the 3rd alternative form of the fixed difficulty assessment tasks (form C); refinement of tasks to improve the graphical representations, enhance the difficulty level of the subtasks (based on findings from Phase 1), and ensure currency of the tasks; and usability testing of the refined tasks using a user-centered design approach. Data collection for Phase 1 will involve a sample of 24 older adults (8 non-impaired older adults aged 60+ (4 per site) and 16 with MCI aged 60+ (8 per site) (4 Spanish speaking in each group) and will take place in laboratory space at i-Function and a community location in NYC. The usability testing will occur on one day and involve approximately 2 hours. In Phase 1 the investigators will also develop browser-based version of the CFSAT program so that it can be launched from web browsers such as Google Chrome or Safari. This will greatly enhance the flexibility of the program, as the investigators will be able to launch the program from a variety of settings including the home. This is also a critical step for commercialization and direct to consumer sales.

Phase 2 will involve a multi-site trial to gather continued data on the efficacy of the CFSAT training with respect to functional gains and additional data on the usability, and acceptability of the program. The investigators will also gather data on: optimal training dosage; near and far transfer of training and environmental transfer of training (actual performance in the real world on the tasks trained by the program as tracked by the EMA protocol); the maintenance of training gains over time; the need for booster training; and adherence to home-based training protocols for those with MCI and non-impaired older adults (NC). In addition, the investigators will examine if computer-based cognitive training (CT) provides a priming effect that further enhances the benefits of the CFSAT training program for those with MCI.",Yes,No,Device	Device,"People with cognitive impairments such as Mild Cognitive Impairment (MCI), often experience difficulty performing everyday routine activities. Further, normative age-related changes in cognition often lead to deficits on previously learned skills and impede new learning such as learning of new technology systems. This is of great concern, given population aging, the increasing number of older adults with cognitive impairments, and the continual deployment of new technologies in everyday contexts. The objectives of this SBIR Phase II study is to build on a previous Phase I SBIR project and refine and further evaluate a novel integrated computer-based functional skills assessment and training (CFSAT) program that provides training on everyday tasks critical to independent living (e.g., financial and medication management) with non-impaired older adults (NC) and adults with MCI.",: A Novel Computer-Based Functional Skills Assessment and Training Program,,"The CFSAT program provides training on everyday tasks critical to independent living (e.g., financial and medication management). The program currently includes six domain simulations critical to independent living: ATM Banking/Financial Management, Online Banking, Prescription Refill via Voice Menu, Kiosk Ticket Purchase, Online Shopping (and prescription refill), and Medication Management.	Cognitive speed training program",The Computerized Functional Skills Assessment and Training Program	Brain HQ Double Decision,"""virtual reality"""
1616,NCT03554642,Completed,2016-09-01,"Inclusion Criteria:

Cortical/subcortical ischemic stroke
1st time clinical stroke presentation, or prior stroke with no residual deficits affecting ambulation
Ability to follow 2 step commands
Fugl Meyer Sensory Score > 2
Suitability for gait training as assessed clinically (ability to ambulate at least one step with a device/assistance)
Height 132 cm- 200 cm; hip-knee joint length: 33 cm- 48 cm; knee joint-foot: 33 cm-48 cm

Exclusion Criteria:

Cerebellar/brainstem stroke
Body weight >135 kg
Uncontrolled high blood pressure (stage 2) higher than 160 (systolic)/ 100 (diastolic)
Cardiopulmonary system impairments affecting the ambulation test.
Integumentary impairment: skin breakdown and bedsore around the loading area of the suspension belt
No previous robotic intervention for ambulation training
Significant and persistent mental illness.
A fixed contracture or deformity in lower extremity.
Bone instability (non-consolidated fractures, unstable spinal column, severe osteoporosis necessitating treatment with bisphosphonates).
Other neurodegenerative disorders (Amyotrophic lateral sclerosis, Parkinsonian disorder).
Modified Ashworth scale >3 in affected leg.
Significant back or leg pain that creates an inability to tolerate movement.
Decreased sensation that will impair patient's ability to percept whether the device is properly fitted
Aphasia of a degree that would prevent the patient from communicating discomfort.
Inability to tolerate the Walkbot device or ambulation therapy",2019-12-01,Interventional,Walkbot Robotic Training for Improvement in Gait,Treatment,OTHER,INDUSTRY,"This controlled clinical study will involve 30 ischemic stroke inpatients during their stay at Burke Rehabilitation Hospital (typical inpatient arrives 7 days post-stroke and is admitted for ~16 days).

Stroke inpatients will be sequentially randomized into one of two groups within the first week after admission. Both Groups will receive 30 additional minutes of therapy every day, for a total of 2 weeks (14 days). Group A will enroll 15 patients who will receive usual inpatient care including at least one 60-minute session of physical therapy per day, and an additional 30-minute session of standard physical therapy focused on pre-gait and/or gait training activities 5-days per week during the duration of their stay (14 days). Group B will enroll 15 patients who receive usual inpatient care that includes at least one 60-minute session of physical therapy and an additional 30-minute session of Walkbot with Augmented Reality 5-days per week during the duration of their stay (14 days). Both groups will receive the same time in therapy aimed at gait training. The extra therapy group will not exceed more than 15 minutes of pregait training before starting to walk the patient, and will spend at least 15 minutes doing active gait training per session. Patients in the treatment group will receive 30 minutes of total training on the Walkbot, excluding setup time. Primary and secondary outcomes will be collected, prior to the first therapy session. Follow up outcome measures will be collected within two days after the final interventional (study) therapy session. The amount of therapists needed for each session will be logged for every patient after Walkbot training or extra physical therapy. Borg rating of perceived exertion will be taken after each session from the patients, and NASA Task Load Index will be completed by the therapists (ie therapist load). Outcomes will be analyzed for significant differences.",Yes,,Device	Behavioral,"This clinical study will involve up to 30 ischemic stroke inpatients during their stay at Burke Rehabilitation Hospital. Participants will be randomized to receive 30 additional minutes of therapy every day, for a total of 2 weeks (14 days). One group will receive 30 minutes of standard physical therapy focused on pre-gait or gait training activities, while the experimental group will receive 30 minutes of Walkbot with Augmented Reality. Both groups will receive the same time in therapy aimed at gait training.",Walkbot Robotic Training for Improvement in Gait in Sub-Acute Stroke,,"Walkbot is a Robot Assisted Gait Training System. This system is designed to maximize muscle strength, range of joint motion, and gait function while participants engage in a virtual reality game.	30-minute session of standard physical therapy focused on pre-gait and/or gait training activities 5-days per week during the duration of their stay (14 days).",Walkbot	Physical Therapy,"""virtual reality"""
1622,NCT03780296,Completed,2017-09-05,"Inclusion Criteria:

- Adults 40 years of age and older having had a stroke greater than 6-months post onset
Able to follow commands in English
Medically stable and without acute illness, such as infection, inflammation, ongoing chest pain, or short of breath with walking and light activities
Able to stand up off of a standard height chair (16-18 inches)

Exclusion Criteria:

- Cognitive impairment as measured by a score below 24/30 on Mini Mental State Examination
A diagnoses of cancer involving the nervous or musculoskeletal system
Severe pain in arms, legs, or spine measured by >6/10 using Verbal Numerical Pain Rating Scale that prevents them from standing or walking independently
Diagnoses of other neurological diseases except for stroke, such as spinal cord injury or Parkinson's disease etc.
Individuals at the advanced stage of a disease and with less than 12 months to live.",2018-09-26,Interventional,Implementing Technology Enhanced Real Time Action Observation Therapy in Persons With Chronic Stroke,Device Feasibility,OTHER,UNKNOWN,,Yes,No,Device,"This is a feasibility study to alter the Microsoft Kinect software to be used as a rehabilitation tool. The prototype used is still in the early developing stage. The purpose of this research study is to develop a prototype of altered Microsoft Kinect Software and determine its use in improving the function of the study subjects' weaker extremities. The altered software will allow a viewing of the mirror image of the involved limb as it is moved. However, the image that is viewed will reflect normal movement even if the limb cannot move normally. By viewing normal movement of the weaker limbs the ""mirror neuron"" network in the brain will become activated and will ultimately improve the function of the weaker side.",Implementing Technology Enhanced Real Time Action Observation Therapy in Persons With Chronic Stroke,Kinect	Rehabilitation	Virtual reality	Mirror therapy,"Participants will receive 30 minutes of the augmented kinect software in real-time undergoing an exercise protocol involving seated upper extremity exercises, seated lower extremity exercises and standing upper extremity exercises.",Real-time action observation with augmented Kinect,"""virtual reality"""
1656,NCT04869020,"Active, not recruiting",2021-05-07,"Inclusion Criteria:

Male or female subjects age 18 to 70 years old
Vertigo that has been present for at least 90 days
Vertigo that is constant or predictable
Consulted a medical doctor in the past 24 months regarding their vertigo
Identify as having vertigo from one of the following causes:
Benign Paroxysmal Positional Vertigo (BPPV)
Meniere's Disease
Vestibular Migraines
Migraine Associated Vertigo
Vestibular Neuritis
Labyrinthitis
Vertigo caused by COVID-19
Score within appropriate range on the Dizziness Handicap Inventory
Have a computer and access to internet for online video conferences
PayPal, Venmo or Zelle account to receive compensation

Exclusion Criteria:

Vertigo that first presented within the last 90 days
Skull base surgery within the last 90 days
Any skull implant (cochlear implant, bone conduction implant, DBS)
Taking benzodiazepines (e.g., clonazepam, lorazepam, diazepam) for dizziness
Vitreous detachment of the retina (floaters in the eye) in the previous 90 days",2022-06-01,Interventional,Evaluation of the OtoBand in Subjects With Self-reported Vertigo to Reduce Severity of Vertigo in a Real-world Setting,Treatment,INDUSTRY,,"In this phase of this pilot study, a minimum of 20 participants will be enrolled, with up to 100 participants maximum. This will provide adequately powered pilot data to measure effect size for the OtoBand and sham devices and to identify different causes of vertigo for which the OtoBand has a particularly strong effect as measured by the Otolith Vertigo Assessment Tool. After inclusion/exclusion screening and informed consent is obtained, potential participants will be assessed using the Dizziness Handicap Inventory (DHI). The DHI will be completed online.

Potential participants with a DHI score in the appropriate range will be accepted into the study. These participants will be asked to schedule an online meeting to with the study coordinator. In this online enrollment meeting, the study coordinator will review the Informed Consent and confirm other information supplied by the participant online (inclusion/exclusion) and then make an affirmative decision to enroll or not enroll participants in the study.

The participants will be randomly assigned to one of the two arms of the study (OtoBand / Sham Device A or OtoBand / Sham Device B). This is a blinded study in which every participant will be evaluated, and each participant may select the stimulation that best suits him or her on both of the study devices.

Each participant will select his/her preferred stimulation level by pressing the power level button on the study device; however, they will be blinded to which device they are using. Study participants will be asked to use the devices whenever they are having a symptom of vertigo. Each participant will be asked to record his/her level of vertigo in the online Study Diary: before putting on the device, after wearing the device for 5 minutes, after removing the device.

The study devices will record the following information regarding usage: Date and time when the device is turned on/off and the power level, Date and time when the power level is changed and the new power level.

Participants will be allowed to use the device as long as they are getting benefit from the device at any power setting that they select. Participants will be asked to complete an entry in the Study Diary even on days on which they do not experience a vertigo episode.

The study coordinator will schedule six study monitoring call with each participant as close as possible to the following schedule:

Call 1: Device I: 4 days after enrollment Call 2: Device I: 9 days after enrollment Call 3: Device I: 14 days after enrollment Call 4: Device II: 17 days after enrollment Call 5: Device II: 22 days after enrollment Call 6: Device II: 27 days after enrollment",Yes,No,Device	Device	Device,"This study seeks to gather data on the effect of a device, the OtoBand, in participants who have reported symptoms of vertigo, compared to the effect of using one of two sham devices. The study is designed to be conducted remotely using video conferencing between representatives of the manufacturer of the Otoband and participants. In order to comply with requirements for non-essential contact due to the Covid-19 pandemic there will be no person to person contact in the study.",Evaluation of the OtoBand in Subjects With Self-reported Vertigo to Reduce Severity of Vertigo in a Real-world Setting,BPPV	Meniere's disease	Migraine associated vertigo	Labyrinthitis	Vestibular neuritis,Participants with vertigo will wear the Otoband set at their chosen power level when experiencing symptoms.	Sham Device A is an OtoBand in which the transducer is modified so that the vibrations are not targeted at the vestibular system.	Sham Device B is an OtoBand that operates at power settings found to be nontherapeutic against vertigo associated with virtual reality.,Otoband	Sham A	Sham B,"""virtual reality"""
