,NCTId,ExclusionCriteriaEmbedClean,Correct,TopicName,Topics,TopicProbs
30,NCT05365607,suspicion dementia,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.764960599
134,NCT03224234,patients planning receive long term oral injectable steroid treatment greater 10 days,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
376,NCT05130658,joint contracture spasticity limb limits normal range motion ambulation assistive devices.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
153,NCT04112069,factors  opinion site principal investigator clinical protocol chair  interfere safe completion  including medical conditions require hospitalization trial,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.824043313
138,NCT04607460,practitioner interfere ability complete evaluation investigative device s safety efficacy.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.891753474
95,NCT03207685,infants born pre term fully developed skin,Y,pregnant_pregnancy_women_planning_breastfeeding_female_feeding_breast_potential_child,1,0.901988175
407,NCT04259424,severe hypertension systolic >200 mmhg diastolic >110 mmhg rest,Y,mmhg_blood_pressure_ml_60_diastolic_hba1c_min_tsh_cm,3,0.382571083
333,NCT04241003,cognitive impairment affecting ability operate smartdrive  deemed prescribing clinician,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.981867801
367,NCT05385497,subjects history seizures epilepsy ,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.597312123
409,NCT05061745,arm 1 ,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.837126173
27,NCT05227898,cancer melanoma  multiple myeloma  unstaged cancer.,Y,skin_cancer_allergy_known_cell_reaction_basal_allergic_adhesive_carcinoma,2,1
383,NCT05362708,medication affecting autonomic nervous system.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
53,NCT04808609,current use nicotine replacement therapy smoking cessation medications,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.556466517
325,NCT05130112,current use long term oxygen therapy noninvasive ventilation use 6 weeks prior,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.976649261
235,NCT03583450,patients open skin  lice  scabies  infectious skin conditions head face,Y,skin_cancer_allergy_known_cell_reaction_basal_allergic_adhesive_carcinoma,2,0.538490579
191,NCT03098277,hematologic malignancy,Y,skin_cancer_allergy_known_cell_reaction_basal_allergic_adhesive_carcinoma,2,0.457834659
300,NCT01712594,exclusionary cardiac disorder,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
56,NCT04342494,self reported medical record indication current eating disorder,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.678316787
427,NCT02830893,severe language problem prevent participants properly understanding instructions,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
228,NCT04808141,submitted spinal surgery 3 months ago,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
205,NCT03936699,diagnosed eating disorder.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
153,NCT04112069,congestive heart failure new york heart association  nyha  functional classification iii iv,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
51,NCT04484779,history clinical signs liver disease  example  acute chronic hepatitis  cirrhosis .,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.805086897
114,NCT05030272,currently receiving pharmacological behavioral intervention counseling smoking cessation ,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.521118241
384,NCT04196686,taken pain medications 12 hours,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
202,NCT03315286,received field therapy  i.e.  entire face scalp  treatment actinic keratosis  i.e.  topical imiquimod  5 fluorouracil  photodynamic therapy  past 3 months,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
240,NCT05354297,body mass index < 27,Y,mmhg_blood_pressure_ml_60_diastolic_hba1c_min_tsh_cm,3,0.461430654
125,NCT03528174,history severe hypoglycemia past 12 months prior screening visit hypoglycemia unawareness judged investigator.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
44,NCT04191330,baseline systolic blood pressure <100 mmhg,Y,mmhg_blood_pressure_ml_60_diastolic_hba1c_min_tsh_cm,3,0.470514699
425,NCT04057105,history alcohol abuse illicit drug use,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
409,NCT05061745,adults unable consent,Y,consent_informed_provide_inability_sign_unable_written_unwillingness_willing_representative,4,1
169,NCT05310227,participants arm circumference 7.9 inches  20 cm ,Y,mmhg_blood_pressure_ml_60_diastolic_hba1c_min_tsh_cm,3,0.450119652
114,NCT05030272,pregnant intention pregnant 6 months ,Y,pregnant_pregnancy_women_planning_breastfeeding_female_feeding_breast_potential_child,1,1
118,NCT04428645,liver failure  cirrhosis  liver disease compromises liver function determined investigator.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
118,NCT04428645,major surgical operation 30 days prior screening.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
184,NCT03865381,use insulin pump,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.896976842
125,NCT03528174,history diabetic ketoacidosis prior 6 months prior screening visit  diagnosed hospital admission judged investigator.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.906281106
138,NCT04607460,lower surgery previous  12  months ,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
251,NCT04964128,diagnosed current eating disorder anorexia bulimia,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
316,NCT05114252,current atropine treatment atropine treatment 3 months prior enrolment ,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.962579384
299,NCT05412134,condition opinion pi allow safe conduct procedures  including imr  mip testing step test  physical disability  recent musculoskeletal injury illness  current ongoing evaluation undiagnosed cardiopulmonary neurologic symptoms  undiagnosed chest pain  pneumothorax past 12 months  inner ear surgery past 12 months  undiagnosed syncopal episodes.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.720575484
251,NCT04964128,medical assistance  i.e. paramedics  emergency room  er  hospitalization ,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.9913084
205,NCT03936699,current history cancer past 5 years  including basal cell carcinoma cervical carcinoma situ .,Y,skin_cancer_allergy_known_cell_reaction_basal_allergic_adhesive_carcinoma,2,1
409,NCT05061745,history schizophrenia  schizoaffective disorder  delusional disorder psychotic illness precludes safe trial,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
409,NCT05061745,neurologic conditions devices impacting brain circuitry   ferrous metal head  seizure disorder  brain tumor  stroke  aneurysm  multiple sclerosis  etc. ,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
433,NCT04394754,class iv heart failure,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
322,NCT04809285,positive urine pregnancy test time screening.,Y,pregnant_pregnancy_women_planning_breastfeeding_female_feeding_breast_potential_child,1,1
6,NCT05302050,current use insulin long acting insulin analogue human nph insulin,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
199,NCT04142229,known abuse alcohol,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
267,NCT03091712,clinical ,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.879490567
1,NCT05016050,current co morbid psychiatric including ptsd  schizophrenia  bipolar disorder ii  borderline personality disorder,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
199,NCT04142229,short term treatment prednisone  defer enrollment underlying condition prednisone treatment resolved.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
201,NCT04820153, 1  clinically significant neurological psychiatric illness including mental retardation  dementia severe depression anxiety ,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
84,NCT03519451,medical psychiatric condition  illness  disorder  concomitant medication compromise safety treatment  determined principal investigator collaborator,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.81751429
32,NCT05419219,admitted intensive care unit sars cov2 infection serve illness,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.989862658
54,NCT04609514,current untreated unstable alcohol substance abuse dependence  eligible past abuse dependence receiving treatment stable >30 days ,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
306,NCT04942184,depression,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
138,NCT04607460,currently enrolled investigational drug device study.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
138,NCT04607460,active suicidal ideation  assessed clinician initial screening ,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
51,NCT04484779,history renal transplantation  receiving renal dialysis  diagnosed stage iv chronic kidney disease.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.945168224
372,NCT03606668,uncontrolled mood disorders,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
362,NCT04307446,people pain central neurological disorders  stroke  multiple sclerosis  spinal cord injury ,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
205,NCT03936699,significant cardiac arrhythmia  ectopy  significant cardiovascular disease.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
42,NCT05400837,history cardiac arrest  sudden death,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.581755805
418,NCT01627301,illicit drug use,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
217,NCT04912531,congenital heart disease,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.473328672
176,NCT04689256,orthopedic surgery year.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.95995278
44,NCT04191330,history heart transplant list,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.732241064
11,NCT04770285,general anxiety disorder social anxiety present long main disorder requiring treatment.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
102,NCT05371470,active psychosis.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.855185181
121,NCT05236725,women received postpartum care location birth center wfbmc,Y,pregnant_pregnancy_women_planning_breastfeeding_female_feeding_breast_potential_child,1,1
251,NCT04964128,women breastfeeding,Y,pregnant_pregnancy_women_planning_breastfeeding_female_feeding_breast_potential_child,1,0.818919355
88,NCT04086576,alcohol dependence withdrawal dsm v criteria,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
30,NCT05365607,participants excluded report elevated acute risk suicidal self directed violence warranting immediate intervention   suicidal ideation intent  evaluated columbia suicide severity rating scale  c ssrs .,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.455220758
409,NCT05061745,individuals adults  infants  children  teenagers ,Y,pregnant_pregnancy_women_planning_breastfeeding_female_feeding_breast_potential_child,1,1
81,NCT04622930,acute  active suicidal ideation indicated clinical judgment score ≥ 2 suicidal ideation subscale c ssrs,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
324,NCT03093636,abnormal liver function test results  transaminase >3 times upper limit normal ,Y,mmhg_blood_pressure_ml_60_diastolic_hba1c_min_tsh_cm,3,0.875703355
409,NCT05061745,significant auditory visual impairment prevents participants virtual reality headset.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
86,NCT03475147,scotoma ocular disorder,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.57519056
118,NCT04428645,active infection.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
131,NCT04424888,subjects received experimental drug 30 days prior entry,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
215,NCT04244786,current psychotic disorder  mania  hypomania  intellectual disability,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
211,NCT05212129,hearing impaired,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
169,NCT05310227,pregnant breastfeeding females,Y,pregnant_pregnancy_women_planning_breastfeeding_female_feeding_breast_potential_child,1,0.88550059
346,NCT04468074,applicants  pregnant  planning pregnancy  breastfeeding,Y,pregnant_pregnancy_women_planning_breastfeeding_female_feeding_breast_potential_child,1,1
378,NCT04449341,currently experiencing headache migraine,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.684887055
138,NCT04607460,psychotic disorder  dissociative disorder  psychiatric condition required hospitalization past year judged interfere participation.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
51,NCT04484779,vision loss vision impairment allow recognition mma screen features.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.703920324
444,NCT05353296,unstable depression insomnia medication regimen,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.723966601
313,NCT04900285,ongoing prior use dental device,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
24,NCT05421624,history >1 fall past 3 months,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.844917422
30,NCT05365607,current substance  including marijuana  alcohol use disorder  past 12 months  scid 5  methods research strategy . adults past substance alcohol use disorders allowed participate.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
199,NCT04142229,hemophilia bleeding disorder,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.508813494
246,NCT04888169,active suicidality.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.747156026
241,NCT05166707,current previous symptoms psychosis  including delusions  history consistent psychotic disorder  opinion investigator,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.978202275
102,NCT05371470,active substance use.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
168,NCT04664881,patients planned staged pci index hospitalization,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.885632598
134,NCT03224234,cardiac status nyha iii iv,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.975813236
42,NCT05400837,mitral stenosis,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.86792527
391,NCT05267704,patients lie supine renal biopsy excluded,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
50,NCT03996876,lifetime history schizophrenia bipolar disorder i.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.711448002
134,NCT03224234,refusal inability informed consent,Y,consent_informed_provide_inability_sign_unable_written_unwillingness_willing_representative,4,0.822154839
324,NCT03093636,abuse alcohol recreational drugs,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
378,NCT04449341,history motion sickness  nausea vertigo ,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
290,NCT03335800,currently anti coagulation therapy.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.884788374
45,NCT04421131,willing sign informed consent,Y,consent_informed_provide_inability_sign_unable_written_unwillingness_willing_representative,4,0.831777732
199,NCT04142229,cystic fibrosis,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
50,NCT03996876,medical conditions including seizure disorders  neurological disorders  moderate severe head injury  systemic illness affecting nervous system function  heart defect  medically unstable injuries.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
42,NCT05400837,presence artificial heart valve,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.844155289
297,NCT02921776,severe uncorrected hearing loss,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
375,NCT03372460,skin lesions site stimulation increase conductance   vascular moles angiomas ,Y,skin_cancer_allergy_known_cell_reaction_basal_allergic_adhesive_carcinoma,2,0.53714214
211,NCT05212129,pregnancy  evaluating md screens patients normally clinic visit  questioning  perform urine pregnancy test clinically indicated  absence menstrual period symptoms concerning pregnancy ,Y,pregnant_pregnancy_women_planning_breastfeeding_female_feeding_breast_potential_child,1,1
228,NCT04808141,known disorder indication spine surgery  i.e.  tumor  cauda equina syndrome ,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
118,NCT04428645,current administration oral parenteral corticosteroids.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
0,NCT05375500,susceptibility motion sickness simulator sickness,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.393018492
209,NCT04721067,pregnancy breastfeeding course study.,Y,pregnant_pregnancy_women_planning_breastfeeding_female_feeding_breast_potential_child,1,1
409,NCT05061745,changes psychotropic medication  taking psychotropic medication  changes supportive psychotherapy 1 month prior initial visit  clinically appropriate maintain stable treatment regimen duration trial,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
