id,name,branches,main_branch,heading,branch_name
D000055,Accessory Nerve,['A08.800.800.120.060'],A08,FALSE,Nervous System
D000056,Accident Prevention,['N06.850.135.060'],N06,FALSE,Environment and Public Health
D000057,Accident Proneness,['F01.145.015'],F01,FALSE,Behavior and Behavior Mechanisms
D000058,Accidental Falls,['N06.850.135.122'],N06,FALSE,Environment and Public Health
D000059,Accidents,['N06.850.135'],N06,FALSE,Environment and Public Health
D000060,"Accidents, Aviation",['N06.850.135.185'],N06,FALSE,Environment and Public Health
D000061,"Accidents, Home",['N06.850.135.217'],N06,FALSE,Environment and Public Health
D000062,"Accidents, Occupational",['N06.850.135.240'],N06,FALSE,Environment and Public Health
D000063,"Accidents, Traffic",['N06.850.135.392'],N06,FALSE,Environment and Public Health
D000064,Acclimatization,"['G07.025.133', 'G16.012.500.133']",G07,FALSE,Physiological Phenomena
D000065,"Accommodation, Ocular",['G14.010'],G14,FALSE,Ocular Physiological Phenomena
D000066,Accounting,['N03.219.463.030'],N03,FALSE,Health Care Economics and Organizations
D000066388,Oil and Gas Industry,['J01.576.655.875.750'],J01,FALSE,"Technology, Industry, and Agriculture"
D000066428,Coal Industry,['J01.576.655.875.200'],J01,FALSE,"Technology, Industry, and Agriculture"
D000066448,Driving Under the Influence,"['F01.145.250.250', 'F01.145.263.500', 'I01.880.735.223.250', 'I03.125.649']",F01,FALSE,Behavior and Behavior Mechanisms
D000066449,Human Embryonic Stem Cells,['A11.872.700.250.750'],A11,FALSE,Cells
D000066450,Mouse Embryonic Stem Cells,['A11.872.700.250.875'],A11,FALSE,Cells
D000066473,Embryonic Germ Cells,"['A11.497.124', 'A11.872.700.250.625']",A11,FALSE,Cells
D000066477,Work Performance,['I03.946.675'],I03,FALSE,Human Activities
D000066479,Criminal Behavior,['F01.145.250'],F01,FALSE,Behavior and Behavior Mechanisms
D000066491,Clinical Decision-Making,['E01.055'],E01,FALSE,Diagnosis
D000066492,Cognitive Aging,['G07.345.124.260'],G07,FALSE,Physiological Phenomena
D000066494,Cognitive Neuroscience,"['F04.096.628.255.500', 'H01.158.610.030']",F04,FALSE,Behavioral Disciplines and Activities
D000066498,Emotional Adjustment,"['F01.058.144', 'F01.752.543.500.250']",F01,FALSE,Behavior and Behavior Mechanisms
D000066499,Facial Recognition,"['F02.463.593.524.250.500', 'F02.463.593.524.500.500', 'F02.463.593.932.622.500']",F02,FALSE,Psychological Phenomena
D000066502,Grandparents,"['F01.829.263.403', 'I01.880.853.150.452', 'M01.264']",F01,FALSE,Behavior and Behavior Mechanisms
D000066505,Help-Seeking Behavior,['F01.145.813.217'],F01,FALSE,Behavior and Behavior Mechanisms
D000066506,Heuristics,"['F02.463.425.725.500', 'F02.463.785.810.500']",F02,FALSE,Psychological Phenomena
D000066511,Intimate Partner Violence,"['I01.198.240.856.575', 'I01.880.735.900.688']",I01,FALSE,Social Sciences
D000066530,Neurological Rehabilitation,"['E02.760.169.063.500.477', 'E02.831.477', 'H02.403.680.600.750', 'N02.421.784.511']",E02,FALSE,Therapeutics
D000066550,Physical Abuse,"['I01.198.240.856.688', 'I01.880.735.900.744']",I01,FALSE,Social Sciences
D000066553,Problem Behavior,"['F01.145.126.972', 'F01.145.179.750']",F01,FALSE,Behavior and Behavior Mechanisms
D000066608,Underage Drinking,"['F01.145.022.750', 'F01.145.317.269.875', 'I01.880.735.878']",F01,FALSE,Behavior and Behavior Mechanisms
D000066630,Ectopic Gene Expression,['G05.308.202'],G05,FALSE,Genetic Phenomena
D000066670,Cell Plasticity,['G04.356.250'],G04,FALSE,Cell Physiological Phenomena
D000066673,Cell Self Renewal,"['G04.144.220.235', 'G04.161.750.500.375', 'G05.113.415', 'G07.345.249.410.750.500.625']",G04,FALSE,Cell Physiological Phenomena
D000066768,Rehabilitation Research,['H01.770.644.145.472'],H01,FALSE,Natural Science Disciplines
D000066792,Orthodontists,"['M01.526.485.330.655', 'N02.360.330.655']",M01,FALSE,Persons
D000066794,Oral and Maxillofacial Surgeons,"['M01.526.485.330.483', 'M01.526.485.810.910.813', 'N02.360.330.483', 'N02.360.810.910.813']",M01,FALSE,Persons
D000066829,Neuroprotection,['G11.561.645'],G11,FALSE,Musculoskeletal and Neural Physiological Phenomena
D000066888,"Diet, Food, and Nutrition",['G07.203'],G07,FALSE,Physiological Phenomena
D000066889,Triticale,['B01.875.800.575.912.250.822.906'],B01,FALSE,Eukaryota
D000066891,Critical Care Outcomes,"['N04.761.559.590.399.250', 'N05.715.360.575.575.399.250']",N04,FALSE,Health Services Administration
D000066908,Simulation Training,['I02.903.847'],I02,FALSE,Education
D000066928,Millets,['B01.875.800.575.912.250.822.587'],B01,FALSE,Eukaryota
D000066949,Biobehavioral Sciences,['H01.770.644.108.687'],H01,FALSE,Natural Science Disciplines
D000066970,Protein Corona,['D12.776.642'],D12,FALSE,"Amino Acids, Peptides, and Proteins"
D000066988,Vegetarians,['M01.928'],M01,FALSE,Persons
D000066989,Vegans,['M01.928.500'],M01,FALSE,Persons
D000067,Accounts Payable and Receivable,['N03.219.463.030.080'],N03,FALSE,Health Care Economics and Organizations
D000067009,Youth Sports,['I03.450.642.845.987'],I03,FALSE,Human Activities
D000067010,Literacy,"['F01.145.209.429', 'N01.824.196.500']",F01,FALSE,Behavior and Behavior Mechanisms
D000067011,Severe Acute Malnutrition,['C18.654.521.719'],C18,FALSE,Nutritional and Metabolic Diseases
D000067012,"Banking, Personal",['N03.219.463.030.100'],N03,FALSE,Health Care Economics and Organizations
D000067013,Evidence-Based Facility Design,['N02.278.200.252'],N02,FALSE,"Health Care Facilities, Manpower, and Services"
D000067029,"Physical Appearance, Body","['E01.370.600.115.450', 'G07.100.175']",E01,FALSE,Diagnosis
D000067030,Fruit and Vegetable Juices,"['G07.203.100.606', 'J02.200.606']",G07,FALSE,Physiological Phenomena
D000067048,Ghee,"['D10.212.302.199.500', 'G07.203.300.350.100.500', 'G07.203.300.375.200.500', 'J02.500.350.100.500', 'J02.500.375.200.500']",D10,FALSE,Lipids
D000067071,Hydraulic Fracking,['J01.576.655.875.750.500'],J01,FALSE,"Technology, Industry, and Agriculture"
D000067073,Psychological Trauma,['F03.950.750.375'],F03,FALSE,Mental Disorders
D000067074,Peer Influence,['F01.829.316.483.750'],F01,FALSE,Behavior and Behavior Mechanisms
D000067075,Vegetable Products,"['G07.203.300.850.450', 'J02.500.850.800']",G07,FALSE,Physiological Phenomena
D000067088,Direct-to-Consumer Advertising,['J01.219.687.274.500'],J01,FALSE,"Technology, Industry, and Agriculture"
D000067108,Direct-To-Consumer Screening and Testing,"['E01.370.398', 'N02.421.726.233.166']",E01,FALSE,Diagnosis
D000067128,Extracellular Vesicles,['A11.284.295.588'],A11,FALSE,Cells
D000067148,Fungal Viruses,['B04.352'],B04,FALSE,Viruses
D000067170,Telocytes,['A11.329.830.750'],A11,FALSE,Cells
D000067190,Exoskeleton Device,['E07.341'],E07,FALSE,Equipment and Supplies
D000067208,Shellfish Hypersensitivity,['C20.543.480.370.763'],C20,FALSE,Immune System Diseases
D000067248,"Failure to Rescue, Health Care","['E01.789.800.760.500', 'H01.770.644.145.431.500', 'N04.761.559.590.800.760.500', 'N05.715.360.575.575.800.760.500']",E01,FALSE,Diagnosis
D000067250,Psychiatric Rehabilitation,"['H02.403.680.600.875', 'N02.421.784.578']",H02,FALSE,Health Occupations
D000067251,Symptom Flare Up,['C23.550.291.937.500'],C23,FALSE,"Pathological Conditions, Signs and Symptoms"
D000067268,Isolated Heart Preparation,"['E05.519', 'E05.598.750']",E05,FALSE,Investigative Techniques
D000067269,"Diet, Vegan","['E02.642.249.300.750', 'G07.203.650.240.300.750']",E02,FALSE,Therapeutics
D000067289,Behavior Observation Techniques,"['E05.796.112', 'F04.669.112']",E05,FALSE,Investigative Techniques
D000067290,Behavior Rating Scale,['F04.711.271'],F04,FALSE,Behavioral Disciplines and Activities
D000067292,Alcohol Drinking in College,['F01.145.317.269.625'],F01,FALSE,Behavior and Behavior Mechanisms
D000067329,"Obesity, Metabolically Benign","['C18.654.726.750.500.650', 'C23.888.144.699.500.250']",C18,FALSE,Nutritional and Metabolic Diseases
D000067348,Whole Grains,"['G07.203.300.300.550.500', 'G07.203.300.775.500.500', 'J02.500.300.550.500', 'J02.500.775.500.500']",G07,FALSE,Physiological Phenomena
D000067368,Transanal Endoscopic Surgery,"['E01.370.388.250.630.500', 'E04.210.240.250.680.500', 'E04.502.250.250.250.680.500', 'E04.502.250.630.500']",E01,FALSE,Diagnosis
D000067369,Transanal Endoscopic Microsurgery,"['E01.370.388.250.630.500.500', 'E04.210.240.250.680.500.500', 'E04.494.787', 'E04.502.250.250.250.680.500.500', 'E04.502.250.630.500.500']",E01,FALSE,Diagnosis
D000067390,Cold Injury,['C26.212'],C26,FALSE,Wounds and Injuries
D000067393,Personal Protective Equipment,"['E07.700.560', 'J01.637.708.560']",E07,FALSE,Equipment and Supplies
D000067397,Nerve Agents,"['D27.720.599', 'D27.720.777.300.500']",D27,FALSE,Chemical Actions and Uses
D000067398,War-Related Injuries,"['C26.946', 'I01.880.735.950.500.951.500', 'N06.850.460.350.600.903.500']",C26,FALSE,Wounds and Injuries
D000067399,Abnormal Involuntary Movement Scale,['E01.370.600.550.162'],E01,FALSE,Diagnosis
D000067401,Blood Alcohol Content,['D02.033.375.135'],D02,FALSE,Organic Chemicals
D000067404,Social Communication Disorder,['F03.625.374.250'],F03,FALSE,Mental Disorders
D000067408,Legal Services,['I01.880.604.583.482'],I01,FALSE,Social Sciences
D000067448,Defamation,"['I01.198.240.240', 'I01.880.735.191.051']",I01,FALSE,Social Sciences
D000067449,Anger Management Therapy,['F04.754.137.087'],F04,FALSE,Behavioral Disciplines and Activities
D000067450,"Psychology, Sports",['F04.096.628.914'],F04,FALSE,Behavioral Disciplines and Activities
D000067453,War Exposure,"['I01.880.735.950.500.951', 'N06.850.460.350.600.903']",I01,FALSE,Social Sciences
D000067454,Childhood-Onset Fluency Disorder,['F03.625.374.125'],F03,FALSE,Mental Disorders
D000067455,No-Show Patients,"['F01.100.150.750.500.600.750', 'F01.145.488.887.500.600.750', 'M01.643.550', 'N04.452.758.635.500', 'N05.300.150.800.500.600.750']",F01,FALSE,Behavior and Behavior Mechanisms
D000067470,Cellular Reprogramming Techniques,"['E05.200.500.380', 'E05.242.378', 'E05.393.085']",E05,FALSE,Investigative Techniques
D000067489,Metacognition,['F02.463.188.756'],F02,FALSE,Psychological Phenomena
D000067490,Prescription Drug Overuse,['E02.319.306.500.750'],E02,FALSE,Therapeutics
D000067491,"Near Miss, Healthcare","['E02.319.529.750', 'N02.421.450.500.750', 'N02.421.450.550', 'N04.761.700.594', 'N05.700.513']",E02,FALSE,Therapeutics
D000067492,RNAi Therapeutics,['E02.095.301.250'],E02,FALSE,Therapeutics
D000067493,Dynamic Light Scattering,['E05.196.822.325'],E05,FALSE,Investigative Techniques
D000067494,"Time Out, Healthcare","['N04.761.700.635', 'N05.700.739']",N04,FALSE,Health Services Administration
D000067495,Healthcare Failure Mode and Effect Analysis,"['E05.318.740.600.800.715.500', 'N04.452.871.715.400', 'N05.715.360.750.625.700.690.400', 'N06.850.505.715.500', 'N06.850.520.830.600.800.715.500']",E05,FALSE,Investigative Techniques
D000067496,Spirit Possession,['K01.844.619.500'],K01,FALSE,Humanities
D000067498,"Crew Resource Management, Healthcare",['N04.590.254'],N04,FALSE,Health Services Administration
D000067508,Computer Heuristics,['L01.224.050.375.095'],L01,FALSE,Information Science
D000067528,Ataxins,"['D12.776.631.069', 'D12.776.660.075']",D12,FALSE,"Amino Acids, Peptides, and Proteins"
D000067531,Alarmins,['D23.469.025'],D23,FALSE,Biological Factors
D000067548,Dermal Fillers,['D27.720.102.461'],D27,FALSE,Chemical Actions and Uses
D000067549,Action Spectrum,['E05.196.867.826.150'],E05,FALSE,Investigative Techniques
D000067551,Diplomacy,"['F01.829.316.171', 'F02.463.785.373.520.500', 'I01.738.305']",F01,FALSE,Behavior and Behavior Mechanisms
D000067552,Mutation Accumulation,['G05.365.590.594'],G05,FALSE,Genetic Phenomena
D000067556,Internal Ribosome Entry Sites,"['D13.444.735.790.878.942.250', 'G02.111.570.080.689.687.093', 'G05.360.080.689.687.093']",D13,FALSE,"Nucleic Acids, Nucleotides, and Nucleosides"
D000067558,Biological Mimicry,['G16.012.750'],G16,FALSE,Biological Phenomena
D000067559,Specific Learning Disorder,['F03.625.562.700'],F03,FALSE,Mental Disorders
D000067561,Potentially Inappropriate Medication List,"['N04.761.700.615', 'N05.700.594']",N04,FALSE,Health Services Administration
D000067562,Late Onset Disorders,['C23.550.291.883'],C23,FALSE,"Pathological Conditions, Signs and Symptoms"
D000067563,Phakopsora pachyrhizi,['B01.300.179.113'],B01,FALSE,Eukaryota
D000067565,Farmers,['M01.526.390'],M01,FALSE,Persons
D000067568,Culturally Appropriate Technology,['J01.897.052'],J01,FALSE,"Technology, Industry, and Agriculture"
D000067570,Social Learning,['F02.784.629.529.663'],F02,FALSE,Psychological Phenomena
D000067571,Financial Statements,['N03.219.463.030.140'],N03,FALSE,Health Care Economics and Organizations
D000067572,Miners,['M01.526.693'],M01,FALSE,Persons
D000067573,Chronopharmacokinetics,['G07.690.725.249'],G07,FALSE,Physiological Phenomena
D000067575,"Administrative Claims, Healthcare",['N04.452.859.564.137'],N04,FALSE,Health Services Administration
D000067576,Child Health,['N01.400.225'],N01,FALSE,Population Characteristics
D000067596,Interleukin-33,"['D12.644.276.374.465.850', 'D12.776.467.374.465.850', 'D23.529.374.465.850']",D12,FALSE,"Amino Acids, Peptides, and Proteins"
D000067616,S100A12 Protein,['D12.776.157.125.750.875'],D12,FALSE,"Amino Acids, Peptides, and Proteins"
D000067617,Telopodes,"['A11.284.180.900', 'A11.329.830.750.500']",A11,FALSE,Cells
D000067636,Drosophila simulans,['B01.050.500.131.617.720.500.500.750.310.250.750'],B01,FALSE,Eukaryota
D000067656,Optimism,['F01.100.787'],F01,FALSE,Behavior and Behavior Mechanisms
D000067657,Pessimism,['F01.100.893'],F01,FALSE,Behavior and Behavior Mechanisms
D000067696,Ataxin-1,"['D12.776.631.069.500', 'D12.776.660.075.500']",D12,FALSE,"Amino Acids, Peptides, and Proteins"
D000067697,Adolescent Health,['N01.400.075'],N01,FALSE,Population Characteristics
D000067698,Ataxin-2,"['D12.776.157.725.452.125', 'D12.776.631.069.750', 'D12.776.660.075.750', 'D12.776.664.962.452.125']",D12,FALSE,"Amino Acids, Peptides, and Proteins"
D000067699,Ataxin-3,"['D08.811.037.250', 'D12.776.631.069.875', 'D12.776.660.075.875']",D08,FALSE,Enzymes and Coenzymes
D000067716,Point-of-Care Testing,['N04.590.874.500'],N04,FALSE,Health Services Administration
D000067719,Ataxin-7,"['D12.776.631.069.901', 'D12.776.660.075.900']",D12,FALSE,"Amino Acids, Peptides, and Proteins"
D000067736,Ataxin-10,['D12.776.631.069.950'],D12,FALSE,"Amino Acids, Peptides, and Proteins"
D000067756,Glucagon-Like Peptide Receptors,"['D12.776.543.750.695.021', 'D12.776.543.750.750.360.100']",D12,FALSE,"Amino Acids, Peptides, and Proteins"
D000067757,Glucagon-Like Peptide-1 Receptor,"['D12.776.543.750.695.021.500', 'D12.776.543.750.750.360.100.500']",D12,FALSE,"Amino Acids, Peptides, and Proteins"
D000067758,Glucagon-Like Peptide-2 Receptor,"['D12.776.543.750.695.021.600', 'D12.776.543.750.750.360.100.600']",D12,FALSE,"Amino Acids, Peptides, and Proteins"
D000067759,Receptor for Advanced Glycation End Products,['D12.776.543.750.615'],D12,FALSE,"Amino Acids, Peptides, and Proteins"
D000067776,RNA Recognition Motif Proteins,"['D12.776.157.725.813', 'D12.776.664.962.813']",D12,FALSE,"Amino Acids, Peptides, and Proteins"
D000067777,ELAV-Like Protein 2,"['D12.776.157.725.813.500.500', 'D12.776.631.520.500', 'D12.776.664.962.813.500.500']",D12,FALSE,"Amino Acids, Peptides, and Proteins"
D000067778,ELAV-Like Protein 3,"['D12.776.157.725.813.500.750', 'D12.776.631.520.750', 'D12.776.664.962.813.500.750']",D12,FALSE,"Amino Acids, Peptides, and Proteins"
D000067779,ELAV-Like Protein 4,"['D12.776.157.725.813.500.875', 'D12.776.631.520.875', 'D12.776.664.962.813.500.875']",D12,FALSE,"Amino Acids, Peptides, and Proteins"
D000067780,ELAV-Like Protein 1,"['D12.776.157.725.813.500.250', 'D12.776.664.962.813.500.250']",D12,FALSE,"Amino Acids, Peptides, and Proteins"
D000067796,Whey,"['A12.790.760', 'G07.203.100.700.750', 'G07.203.300.350.525.760', 'J02.200.700.750', 'J02.500.350.525.760']",A12,FALSE,Fluids and Secretions
D000067816,Whey Proteins,"['A12.790.520.500', 'A12.790.760.500', 'D12.776.256.159.750.816', 'G07.203.300.350.525.760.500', 'G07.203.300.428.159.812.500', 'J02.500.350.525.520.500', 'J02.500.350.525.760.500', 'J02.500.428.159.750.500']",A12,FALSE,Fluids and Secretions
D000067836,Hoarding Disorder,['F03.080.600.250'],F03,FALSE,Mental Disorders
D000067856,Poly(ADP-ribose) Polymerase Inhibitors,"['D27.505.519.389.739', 'D27.505.954.248.692']",D27,FALSE,Chemical Actions and Uses
D000067877,Autism Spectrum Disorder,['F03.625.164.113'],F03,FALSE,Mental Disorders
D000067878,CELF Proteins,"['D12.776.157.725.813.250', 'D12.776.664.962.813.250']",D12,FALSE,"Amino Acids, Peptides, and Proteins"
D000067879,CELF1 Protein,"['D12.776.157.725.813.250.500', 'D12.776.664.962.813.250.500']",D12,FALSE,"Amino Acids, Peptides, and Proteins"
D000067896,Industrial Development,"['I01.261.262.500', 'J01.576.519']",I01,FALSE,Social Sciences
D000067917,Cloud Computing,['L01.224.097'],L01,FALSE,Information Science
D000067936,Natural Resources,"['G16.500.275.553', 'J01.728', 'N06.230.350']",G16,FALSE,Biological Phenomena
D000067940,Glycemic Load,"['G07.203.650.660.750', 'J01.576.423.850.730.750.750', 'N06.850.601.750.750']",G07,FALSE,Physiological Phenomena
D000067956,Adenylyl Cyclase Inhibitors,['D27.505.519.389.108'],D27,FALSE,Chemical Actions and Uses
D000067996,RAW 264.7 Cells,"['A11.251.210.172.875', 'A11.733.397.815']",A11,FALSE,Cells
D000068,Accreditation,"['N03.706.110.070', 'N05.700.200.100']",N03,FALSE,Health Care Economics and Organizations
D000068016,Clostridiales,['B03.353.625'],B03,FALSE,Bacteria
D000068036,Graphic Novel,['V02.700.415'],V02,FALSE,Publication Formats
D000068037,South Sudan,['Z01.058.290.120.745'],Z01,FALSE,Geographic Locations
D000068079,Motor Disorders,['F03.608'],F03,FALSE,Mental Disorders
D000068097,Maternal Health,['N01.400.900.500'],N01,FALSE,Population Characteristics
D000068098,Seed Bank,['N02.278.065.650'],N02,FALSE,"Health Care Facilities, Manpower, and Services"
D000068099,Trauma and Stressor Related Disorders,['F03.950'],F03,FALSE,Mental Disorders
D000068101,Maternal-Child Health Services,"['N02.421.143.130.660', 'N02.421.143.620.275']",N02,FALSE,"Health Care Facilities, Manpower, and Services"
D000068103,Serine-Arginine Splicing Factors,"['D12.776.157.725.829.500', 'D12.776.664.962.829.500']",D12,FALSE,"Amino Acids, Peptides, and Proteins"
D000068104,Infant Health,['N01.400.388'],N01,FALSE,Population Characteristics
D000068105,Bipolar and Related Disorders,['F03.084'],F03,FALSE,Mental Disorders
D000068116,Gender Dysphoria,['F03.835.550'],F03,FALSE,Mental Disorders
D000068156,Formative Feedback,['F02.784.629.529.223'],F02,FALSE,Psychological Phenomena
D000068180,Aripiprazole,"['D03.383.606.170', 'D03.633.100.810.835.122']",D03,FALSE,Heterocyclic Compounds
D000068181,Prunus dulcis,['B01.875.800.575.912.250.859.937.500.625.500'],B01,FALSE,Eukaryota
D000068196,Albumin-Bound Paclitaxel,"['D02.455.426.392.368.242.888.777.500', 'D02.455.849.291.850.777.500', 'D12.776.034.073']",D02,FALSE,Organic Chemicals
D000068216,Child Protective Services,"['I01.409.418.500', 'N03.540.400.500']",I01,FALSE,Social Sciences
D000068217,Social Workers,['M01.526.919'],M01,FALSE,Persons
D000068218,Prunus africana,['B01.875.800.575.912.250.859.937.500.625.250'],B01,FALSE,Eukaryota
D000068219,Prunus armeniaca,['B01.875.800.575.912.250.859.937.500.625.375'],B01,FALSE,Eukaryota
D000068220,Prunus avium,['B01.875.800.575.912.250.859.937.500.625.400'],B01,FALSE,Eukaryota
D000068236,Refugium,"['G16.500.275.683', 'G16.500.819']",G16,FALSE,Biological Phenomena
D000068237,Distance Counseling,"['F02.784.176.350', 'F04.408.413.437', 'N02.421.143.303.175', 'N02.421.461.363.437', 'N04.452.758.849.550.500']",F02,FALSE,Psychological Phenomena
D000068238,Lubiprostone,['D10.251.355.325.050.500'],D10,FALSE,Lipids
D000068239,Prunus persica,['B01.875.800.575.912.250.859.937.500.625.750'],B01,FALSE,Eukaryota
D000068240,Data Anonymization,"['H01.770.644.205', 'L01.224.134.500', 'N03.706.437.650.124.160', 'N04.452.910.200.500']",H01,FALSE,Natural Science Disciplines
D000068241,Personally Identifiable Information,['I01.880.604.583.080.660'],I01,FALSE,Social Sciences
D000068242,Prunus domestica,['B01.875.800.575.912.250.859.937.500.625.450'],B01,FALSE,Eukaryota
D000068256,Darbepoetin alfa,['D12.776.395.240.150.500'],D12,FALSE,"Amino Acids, Peptides, and Proteins"
D000068257,"Efavirenz, Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination","['D02.705.429.906.125', 'D03.383.533.375', 'D03.383.742.680.245.500.600.125', 'D03.633.100.759.138.881.125', 'D26.310.375']",D02,FALSE,Organic Chemicals
