,NCTId,InclusionCriteriaEmbedClean,Correct,TopicName,Topics,TopicProbs
51,NCT04484779,physical cognitive disabilities  opinion investigator  preclude sponsor provided ios device activities comply requirements.,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,0.837734908
447,NCT04434313,age 21 80,Y,years_18_age_old_aged_older_21_male_75_80,2,1
348,NCT04253691,able read understand english ,Y,english_speaking_read_speak_write_spanish_understand_able_fluency_language,4,0.542471023
141,NCT02925299,willing wear closed loop system home,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,0.888625635
104,NCT04465682,capable willing provide informed consent.,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
117,NCT04678661,adult male female patients 18 75 years old,Y,years_18_age_old_aged_older_21_male_75_80,2,1
285,NCT03905863,subjects male female  18 years age older. 50  enrolled population ≥ 65 years age.,Y,years_18_age_old_aged_older_21_male_75_80,2,1
269,NCT02336282,able speak understand english language.,Y,english_speaking_read_speak_write_spanish_understand_able_fluency_language,4,0.291356996
49,NCT02974816,oral parenteral contraceptives 3 months prior screening visit ,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.625789881
256,NCT03333876,able willing provide written informed consent,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
419,NCT05203523,ability read  write speak english fluently,Y,english_speaking_read_speak_write_spanish_understand_able_fluency_language,4,1
405,NCT05326100,able consistently follow verbal written instructions observe safety precautions,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,0.488655372
201,NCT04820153, 5  smart phone device ,Y,smartphone_access_android_mobile_device_phone_iphone_ios_internet_app,3,1
346,NCT04468074,participants aged 21 70 chronic pain.,Y,years_18_age_old_aged_older_21_male_75_80,2,0.97011997
3,NCT04325464,insomnia symptoms 3 months,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.787374663
444,NCT05353296,report experience sleep disturbances 3x week 3 months,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.996983533
198,NCT02609633,adolescents  18 years  diabetes provide written informed consent,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
181,NCT03360019,consents,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
296,NCT05165615,≥ 18 years old,Y,years_18_age_old_aged_older_21_male_75_80,2,1
75,NCT04217551,informed consent legal authorized representative  lar  including intent maintain life support 96 hours,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
427,NCT02830893,deficit vision  alertness  language  attention  cognitive functions interfere playing lara games,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,1
181,NCT03360019,21 years age,Y,years_18_age_old_aged_older_21_male_75_80,2,0.552106223
149,NCT04417270,participants acquired non critical care patients living diabetes mellitus. patients instructed use cgm  limited english speaking reading adults  18 years age older  possess cognitive physical ability participate.,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,1
444,NCT05353296,spanish speaking bilingual  english spanish  self identify hispanic latina o,Y,english_speaking_read_speak_write_spanish_understand_able_fluency_language,4,0.564473134
228,NCT04808141,subjects aged 18 80 years age enrolment,Y,years_18_age_old_aged_older_21_male_75_80,2,0.827548917
181,NCT03360019,legal proxy provide consent.,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
230,NCT04118270,anticoagulants,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.836879392
256,NCT03333876,told bed partner snoring frequently disturbs sleep  self report .,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.71408428
206,NCT05112432,achieved clinical stability  defined outpatient status month prior clinically stable doses psychiatric medication  pi discretion  month prior  including medication ,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.894782293
341,NCT03801616,able read comprehend english,Y,english_speaking_read_speak_write_spanish_understand_able_fluency_language,4,0.613180334
256,NCT03333876,sleep bed partner 4 nights week  self report .,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.719190359
126,NCT03971266,undergoing screening university southern california  usc norris therapeutic clinical trial operated early developmental therapeutics program includes phase ii clinical trials.,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.881507096
138,NCT04607460,women ages 18 65,Y,years_18_age_old_aged_older_21_male_75_80,2,0.552106223
390,NCT04152447,patients sustained factures treated open reduction internal fixation. polytrauma patients fractures definitively fixed discrete operating room visit included.,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.909970503
217,NCT04912531,cognitive psychiatric conditions prohibiting consent participation.,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,0.967102621
140,NCT03295643,understands willing sign informed consent form,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
101,NCT05303051,age > 40 years old,Y,years_18_age_old_aged_older_21_male_75_80,2,1
168,NCT04664881,caring family member able help perform ecg case won t able it.,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,0.982321153
369,NCT04849897,access device video audio capability sufficient wifi line sessions,Y,smartphone_access_android_mobile_device_phone_iphone_ios_internet_app,3,0.65310613
45,NCT04421131,willing allow use mivaa screening via.,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,0.954513346
398,NCT03187132,stated willingness comply procedures availability duration,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,0.570711382
101,NCT05303051,ownership smart phone,Y,smartphone_access_android_mobile_device_phone_iphone_ios_internet_app,3,0.540548591
176,NCT04689256,able read speak english fluently.,Y,english_speaking_read_speak_write_spanish_understand_able_fluency_language,4,1
354,NCT04925765,18 years older,Y,years_18_age_old_aged_older_21_male_75_80,2,0.522236251
117,NCT04678661,blood glucose data available electronic medical records  emr   hba1c measurements corresponding baseline subsequent time point insulin titration  fbg readings ,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.613617111
223,NCT05269862,21 years old.,Y,years_18_age_old_aged_older_21_male_75_80,2,1
299,NCT05412134,participants  parent guardian  access internet approved smart device computer.,Y,smartphone_access_android_mobile_device_phone_iphone_ios_internet_app,3,0.557860497
438,NCT04655924,able provide informed consent,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
187,NCT04409353,personal computer smartphone  android iphone  web based complete surveys.,Y,smartphone_access_android_mobile_device_phone_iphone_ios_internet_app,3,0.770796601
243,NCT03418129,alteration mental status  confusion  disorientation  slowed thinking  etc. ,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.870949279
118,NCT04428645,male female subjects 18 60 years age.,Y,years_18_age_old_aged_older_21_male_75_80,2,1
309,NCT03165110,aged 18 75 years  male female,Y,years_18_age_old_aged_older_21_male_75_80,2,1
16,NCT05266625,able use phoenix  english fluent  smartphone capable running intervention.,Y,smartphone_access_android_mobile_device_phone_iphone_ios_internet_app,3,0.554573123
215,NCT04244786,age 18 60,Y,years_18_age_old_aged_older_21_male_75_80,2,1
223,NCT05269862, legally acceptable representative  provide written informed consent prior related procedure.,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
403,NCT03762213,amps  including crps  localized diffuse amplified pain syndrome determined primary pediatric rheumatologist coded emr.,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.857990303
91,NCT03796689,age ≥ 18 years,Y,years_18_age_old_aged_older_21_male_75_80,2,1
235,NCT03583450,patients aged 5 12 years,Y,years_18_age_old_aged_older_21_male_75_80,2,1
53,NCT04808609,≥ 18 years old,Y,years_18_age_old_aged_older_21_male_75_80,2,1
80,NCT04034693,18 years age,Y,years_18_age_old_aged_older_21_male_75_80,2,0.526033951
30,NCT05365607,wireless internet power outlets sleep ,Y,smartphone_access_android_mobile_device_phone_iphone_ios_internet_app,3,1
155,NCT04018677, caregiver  clinician willing connected app.,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,0.948837252
42,NCT05400837,18 years older,Y,years_18_age_old_aged_older_21_male_75_80,2,0.494452148
17,NCT05305235,18  years age,Y,years_18_age_old_aged_older_21_male_75_80,2,1
446,NCT04057248,able read  write understand english,Y,english_speaking_read_speak_write_spanish_understand_able_fluency_language,4,0.823892318
339,NCT04858178,time injury 1 year  effort limit baroreflex desensitization.,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.697456481
118,NCT04428645,willingness sign informed consent hipaa documents.,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
65,NCT02392000,age 21 65 ,Y,years_18_age_old_aged_older_21_male_75_80,2,1
58,NCT03214224,18 years age older.,Y,years_18_age_old_aged_older_21_male_75_80,2,1
185,NCT05470842,75 years older diabetes glucose medications carry high risk hypoglycaemia  sulfonylureas insulin  presenting hospital fall symptoms suggestive unrecognised hypoglycaemia  dizziness  feeling muddled .,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.86612052
285,NCT03905863,able willing follow protocol requirements,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
399,NCT04875013,long standing persistent symptoms greater year,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.870944285
290,NCT03335800,proficient written spoken english  defined self report comfort reading  writing  speaking english iphone.,Y,english_speaking_read_speak_write_spanish_understand_able_fluency_language,4,0.521779753
444,NCT05353296,insomnia severity index score moderate insomnia symptoms  score>10 iss ,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.51630263
53,NCT04808609,android smartphone,Y,smartphone_access_android_mobile_device_phone_iphone_ios_internet_app,3,0.56808637
188,NCT03674697,able understand  read  write english,Y,english_speaking_read_speak_write_spanish_understand_able_fluency_language,4,1
240,NCT05354297,compatible smartphone willing redownload apps change phones,Y,smartphone_access_android_mobile_device_phone_iphone_ios_internet_app,3,0.678335813
381,NCT04887285,males females  ages 18 90 years,Y,years_18_age_old_aged_older_21_male_75_80,2,1
303,NCT04909203,18 years older,Y,years_18_age_old_aged_older_21_male_75_80,2,0.539406798
138,NCT04607460,age 18 65 years old ,Y,years_18_age_old_aged_older_21_male_75_80,2,0.694570922
187,NCT04409353,pain problem persisted 3 months resulted pain half days past 6 months.,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,1
352,NCT04609787,typical pain ratings ≥ 4 10 visual analogue scale,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,1
171,NCT04336644,18 years age.,Y,years_18_age_old_aged_older_21_male_75_80,2,1
321,NCT02600845,smartphone compatibility  able download accu chek connect system application accordingly,Y,smartphone_access_android_mobile_device_phone_iphone_ios_internet_app,3,0.675782019
403,NCT03762213,informed consent caregivers child assent participants.,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
230,NCT04118270,preferred language english,Y,english_speaking_read_speak_write_spanish_understand_able_fluency_language,4,1
138,NCT04607460,fluent english  required complete self report instruments ,Y,english_speaking_read_speak_write_spanish_understand_able_fluency_language,4,0.521936254
101,NCT05303051,able provide informed consent,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
191,NCT03098277,ability understand willingness sign written informed consent,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
407,NCT04259424,21 90 years age,Y,years_18_age_old_aged_older_21_male_75_80,2,1
296,NCT05165615,written informed consent prior starting related activity,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
445,NCT04347161,possession mobile device send receive sms texts,Y,smartphone_access_android_mobile_device_phone_iphone_ios_internet_app,3,0.686832804
26,NCT05438160,1. outpatient treatment status schizophrenia.,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.968648746
155,NCT04018677,smartphone data plan allows app installation usage.,Y,smartphone_access_android_mobile_device_phone_iphone_ios_internet_app,3,1
201,NCT04820153, 4  willing able utilize fitbit activity monitor ,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,0.977525133
101,NCT05303051,participants > 1 following risk factors dm ,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.998936298
118,NCT04428645,use multiple daily insulin injections  mdi  4 weeks time screening visit.,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.687983371
58,NCT03214224,6  second device capable downloading spirometer application app store  android  ios based smartphone tablet .,Y,smartphone_access_android_mobile_device_phone_iphone_ios_internet_app,3,0.622258968
102,NCT05371470,willing download use smartphone app.,Y,smartphone_access_android_mobile_device_phone_iphone_ios_internet_app,3,0.664316326
107,NCT03761394,age  greater equal 50 years age,Y,years_18_age_old_aged_older_21_male_75_80,2,1
86,NCT03475147,age 18 80,Y,years_18_age_old_aged_older_21_male_75_80,2,1
428,NCT05401799,>  18 years,Y,years_18_age_old_aged_older_21_male_75_80,2,0.715737185
31,NCT04524598,english fluency literacy adolescent consenting legal guardian 18,Y,english_speaking_read_speak_write_spanish_understand_able_fluency_language,4,0.665120335
117,NCT04678661,willing able use mdc app,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,0.82213913
337,NCT04380415,capable giving informed consent,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
216,NCT04496830,time lp untreated treated steroid steroids ≥ month,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.676828759
134,NCT03224234,age  18 80 years,Y,years_18_age_old_aged_older_21_male_75_80,2,1
67,NCT04452045,asd,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.667151268
121,NCT05236725,able read understand english spanish,Y,english_speaking_read_speak_write_spanish_understand_able_fluency_language,4,0.633988014
143,NCT04180475,willingness ability comply scheduled visits procedures,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,0.655302189
223,NCT05269862,access abbott virtual clinic system participating site.,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,0.959089469
84,NCT03519451,currently ios mobile phone tablet  iphone  ipad  ios 9.0 later reports regular use  weekly  1 ios app,Y,smartphone_access_android_mobile_device_phone_iphone_ios_internet_app,3,0.608070132
110,NCT04194008,participants able willing comply protocol,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,0.938386007
445,NCT04347161,ability provide informed consent,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
306,NCT04942184,mild cognitive impairment  mci ,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,1
363,NCT04360460,18 90 years old,Y,years_18_age_old_aged_older_21_male_75_80,2,1
375,NCT03372460,capable independently reading understanding materials providing informed consent.,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
357,NCT04333758,21 75 years old,Y,years_18_age_old_aged_older_21_male_75_80,2,1
26,NCT05438160,2. stable dose antipsychotic medication s ,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.918507398
398,NCT03187132,provision signed dated informed consent form,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
322,NCT04809285,12 months subjects 7 80 years age,Y,years_18_age_old_aged_older_21_male_75_80,2,1
427,NCT02830893,absence moderate severe shoulder pain   score <3 10 point visual analog pain scale ,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.873820254
141,NCT02925299,literate english,Y,english_speaking_read_speak_write_spanish_understand_able_fluency_language,4,1
205,NCT03936699,18   65 years age inclusive.,Y,years_18_age_old_aged_older_21_male_75_80,2,1
432,NCT04073225,english speaking,Y,english_speaking_read_speak_write_spanish_understand_able_fluency_language,4,1
346,NCT04468074,participants comfortable able communicate email  text message  phone english. participants comfortable video conferencing service zoom complete line sessions.,Y,smartphone_access_android_mobile_device_phone_iphone_ios_internet_app,3,0.706993057
121,NCT05236725,owns daily access smart phone  ios android operating system  available wi fi monthly mobile data plan,Y,smartphone_access_android_mobile_device_phone_iphone_ios_internet_app,3,0.94335691
409,NCT05061745,clinically competent informed written consent ability understand procedures comply entire length,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
372,NCT03606668,able commit designated period testing,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,0.981293693
127,NCT04269655,≥ 18 years age,Y,years_18_age_old_aged_older_21_male_75_80,2,1
427,NCT02830893,age ≥ 18 years time enrollment,Y,years_18_age_old_aged_older_21_male_75_80,2,1
423,NCT03672344,estimated intelligence standard score 40  substituted receptive language score ppvt use differential ability scales  2nd edition  das ii .,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.931629256
251,NCT04964128,fluent speaking  reading understanding english,Y,english_speaking_read_speak_write_spanish_understand_able_fluency_language,4,1
143,NCT04180475,willingness ability comply scheduled visits procedures,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,0.647912829
243,NCT03418129,reports chronic musculoskeletal neuropathic pain  defined moderate severe pain  ≥ 4 0 10 rating scale  body regions previous 3 months more. individuals pain medication  inclusion criteria   pain medication regimen stable past 4 weeks   b  expect major changes pain medication regimen duration   c  expect surgery hospitalized pain treatment duration study.,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.870147472
316,NCT05114252,signed informed consent child s legal representative  child legal representative participants older 14 years  aged participants themselves.,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
172,NCT04161807,participants able willing comply protocol,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
198,NCT02609633,currently compatible smartphone ability download accu chek  connect system app accordingly ability utilize smartphone accu chek  connect system app provided use,Y,smartphone_access_android_mobile_device_phone_iphone_ios_internet_app,3,0.742895289
138,NCT04607460,change type prophylactic psychiatric medication 3 months,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.988816971
316,NCT05114252,stable bcva 2 consecutive measurements 6 months ,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.974214651
223,NCT05269862,able read write.,Y,english_speaking_read_speak_write_spanish_understand_able_fluency_language,4,0.828638724
84,NCT03519451,english speaking ability read comprehend english,Y,english_speaking_read_speak_write_spanish_understand_able_fluency_language,4,1
216,NCT04496830,time lp untreated treated steroid steroids ≥ month,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.631646476
92,NCT03996954,male female patients >18 years,Y,years_18_age_old_aged_older_21_male_75_80,2,1
169,NCT05310227,participants stable dosing prophylaxis agents months.,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.891291822
114,NCT05030272,functional impairment indicated score 2 greater whodas 8 item version,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.638408442
28,NCT05032404,active treatment 3 months ending active treatment care clinician time,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.706561557
362,NCT04307446,20 75 years old,Y,years_18_age_old_aged_older_21_male_75_80,2,1
58,NCT03214224,able willing provide informed consent.,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
113,NCT04466501,men women 18 80 years age ,Y,years_18_age_old_aged_older_21_male_75_80,2,0.563139877
251,NCT04964128,willing wear system continuously,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,0.949257461
209,NCT04721067,ongoing receipt stable antiretroviral therapy kind 180 days prior date hiv 1 rna value determining eligibility.,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.715200219
134,NCT03224234,signed  informed consent hipaa documentation,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,0.981433348
131,NCT04424888,able read  understand  sign informed consent forms  icf   applicable  authorization use disclose protected health information form  consistent health insurance portability accountability act 1996  hipaa  legislation modified 2013 ,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,0.84431694
172,NCT04161807,participants able willing provide written informed consent,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
3,NCT04325464,insomnia defined isi score 8,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.902010281
256,NCT03333876,able willing provide written informed consent,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
72,NCT04159480,ownership smartphone ,Y,smartphone_access_android_mobile_device_phone_iphone_ios_internet_app,3,0.612668091
73,NCT04838925,prescribed opioids pain management,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.884861773
24,NCT05421624,provide hipaa authorization allow communication primary healthcare provider communication  needed  period.,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,0.822692639
119,NCT03142932,≥18 years age,Y,years_18_age_old_aged_older_21_male_75_80,2,1
356,NCT05442866,able provide consent,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
5,NCT04909229,english speaking  reading writing english required ,Y,english_speaking_read_speak_write_spanish_understand_able_fluency_language,4,1
230,NCT04118270,caring 3 patients aged 18 years older,Y,years_18_age_old_aged_older_21_male_75_80,2,0.862209263
114,NCT05030272,currently receiving psychiatric treatment intent receive treatment duration  therapy  medications  etc. .,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,1
230,NCT04118270,3 patients anticoagulation,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,1
49,NCT02974816,voluntarily signed dated informed consent form  approved institutional review board independent ethics committee  provided health insurance portability accountability act  hipaa  privacy authorization prior study.,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
49,NCT02974816,glooko compatible smartphone device active data plan access wi fi downloaded mobile application phone own.,Y,smartphone_access_android_mobile_device_phone_iphone_ios_internet_app,3,0.877071443
143,NCT04180475,modified rankin scale neurologic disability  mds  2   4,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,1
245,NCT04280562,age 18 years older time consent,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
187,NCT04409353,english speaking.,Y,english_speaking_read_speak_write_spanish_understand_able_fluency_language,4,1
390,NCT04152447,18 older,Y,years_18_age_old_aged_older_21_male_75_80,2,0.63743389
246,NCT04888169,fluent english comprehension.,Y,english_speaking_read_speak_write_spanish_understand_able_fluency_language,4,0.643109769
130,NCT05238103,18 years older,Y,years_18_age_old_aged_older_21_male_75_80,2,0.521104243
220,NCT04906603,men women 18 75 years age,Y,years_18_age_old_aged_older_21_male_75_80,2,0.552258395
199,NCT04142229,age ≥18.0 years old,Y,years_18_age_old_aged_older_21_male_75_80,2,1
322,NCT04809285,adult subjects  capable providing legal consent legal authorized representative.,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
